 AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r,filename
0.66,0.22,0.85,0.21,0.87,0.96,0.9,0.71,0.4,0.66,0.7,0.82,0.8,0.5,0.38,0.46,0.57,DST_136_F_DIS.csv
0.84,0.45,0.95,0.69,0.68,0.9,0.41,0.55,0.68,0.49,0.85,0.92,0.84,0.75,0.48,0.54,0.44,DST_110_M_SAD.csv
0.62,0.13,0.91,0.57,0.93,1.0,0.95,0.84,0.62,0.48,0.75,0.62,0.66,0.58,0.85,0.29,0.5,DST_170_F_DIS.csv
0.6,0.46,0.95,0.49,0.6,0.83,0.4,0.59,0.38,0.32,0.83,0.94,0.54,0.62,0.25,0.75,0.48,DST_030_M_SAD.csv
0.92,0.98,0.35,0.95,0.39,0.37,0.45,0.21,0.53,0.27,0.48,0.59,0.62,0.52,0.77,0.88,0.47,DST_122_M_SUR.csv
0.31,0.5,0.34,0.77,0.44,0.26,0.51,0.29,0.43,0.42,0.55,0.44,0.45,0.5,0.37,0.27,0.31,DST_137_F_NUT.csv
0.19,0.29,0.51,0.34,0.71,0.91,0.94,0.52,0.44,0.42,0.4,0.61,0.16,0.73,0.33,0.15,0.45,DST_137_F_DIS.csv
0.5,0.21,0.78,0.57,0.7,0.95,0.55,0.54,0.45,0.58,0.82,0.91,0.8,0.56,0.32,0.19,0.74,DST_128_F_SAD.csv
0.32,0.27,0.67,0.31,0.9,0.96,0.97,0.87,0.64,0.71,0.74,0.86,0.66,0.67,0.4,0.43,0.31,DST_105_M_DIS.csv
0.58,0.34,0.99,0.5,0.85,0.99,0.95,0.81,0.37,0.62,0.68,0.9,0.46,0.61,0.27,0.4,0.71,DST_130_F_DIS.csv
0.55,0.45,0.55,0.58,0.54,0.26,0.55,0.51,0.48,0.51,0.61,0.67,0.77,0.43,0.35,0.47,0.5,DST_010_M_NUT.csv
0.68,0.41,0.84,0.34,0.6,0.71,0.74,0.65,0.59,0.49,0.66,0.87,0.26,0.63,0.56,0.53,0.45,DST_164_F_SAD.csv
0.87,0.75,0.88,0.54,0.73,0.5,0.65,0.7,0.78,0.92,0.81,0.91,0.84,0.61,0.46,0.45,0.56,DST_016_M_SAD.csv
0.9,0.95,0.43,0.98,0.55,0.4,0.41,0.43,0.59,0.57,0.85,0.76,0.92,0.42,0.86,0.73,0.37,DST_091_M_FER.csv
0.75,0.66,0.93,0.72,0.63,0.69,0.59,0.47,0.44,0.88,0.72,0.83,0.73,0.49,0.54,0.5,0.3,DST_163_F_SAD.csv
0.79,0.96,0.29,0.99,0.35,0.37,0.37,0.39,0.5,0.32,0.38,0.35,0.32,0.43,0.8,0.55,0.24,DST_137_F_SUR.csv
0.65,0.46,0.69,0.37,0.75,0.76,0.68,0.87,0.53,0.83,0.92,0.96,0.79,0.54,0.55,0.61,0.48,DST_041_M_SAD.csv
0.87,0.95,0.4,0.94,0.42,0.54,0.26,0.15,0.44,0.38,0.79,0.61,0.8,0.48,0.51,0.33,0.3,DST_081_M_FER.csv
0.91,0.98,0.22,0.99,0.39,0.37,0.3,0.46,0.55,0.33,0.34,0.33,0.32,0.5,0.85,0.91,0.39,DST_088_M_SUR.csv
0.66,0.58,0.3,0.58,0.84,0.92,0.27,0.78,0.95,0.85,0.42,0.51,0.62,0.55,0.47,0.29,0.45,DST_131_F_HPY.csv
0.89,0.97,0.29,0.97,0.35,0.3,0.3,0.26,0.54,0.44,0.77,0.35,0.96,0.57,0.46,0.25,0.28,DST_129_F_FER.csv
